3,4,3,3.27456
3,4,2,1.47845
3,4,1,10
3,4,0,2.5925
1,0,1,8.8296
1,0,3,0.775964
1,0,0,2.16171
1,0,2,2.37803
2,1,1,1.30668
2,1,2,9.21192
2,1,3,1.35583
2,1,0,3.04559
0,0,3,2.06268
0,0,0,1.35259
0,0,1,8.64131
0,0,2,-0.313321
4,2,0,-0.0443556
4,2,1,-0.03994
4,2,2,-0.0403026
4,2,3,-0.495921
2,0,2,9.0198
2,0,3,2.20601
2,0,1,0.405005
2,0,0,2.03001
0,1,0,-0.255639
0,1,2,-0.211864
0,1,3,-0.246359
0,1,1,-0.292685
4,3,2,2.71
4,3,1,-0.01
4,3,3,-0.01099
4,3,0,-0.0381413
4,0,1,-0.01999
4,0,2,-0.02187
4,0,0,-0.01999
4,0,3,-0.1
0,2,2,0.0500747
0,2,1,-0.274858
0,2,3,-0.178409
0,2,0,-0.186557
2,3,1,9.602
2,3,2,-0.0298798
2,3,0,1.72574
2,3,3,0.865823
0,3,0,-0.125584
0,3,3,-0.119342
0,3,1,-0.34937
0,3,2,0.753177
2,2,0,2.82516
2,2,3,3.34472
2,2,1,2.17963
2,2,2,9.40598
4,1,1,-0.028981
4,1,2,-0.0510046
4,1,0,-0.01999
4,1,3,-0.19099
0,4,0,-0.0769045
0,4,3,-0.0772095
0,4,2,-0.0797206
0,4,1,2.32094
1,4,1,5.03454
1,4,3,-0.0560688
1,4,2,-0.03994
1,4,0,-0.205557
2,4,2,-0.0370729
2,4,1,8.72401
2,4,3,-0.0293333
2,4,0,-0.028981
3,3,3,4.39951
3,3,2,9.8
3,3,1,0.241929
3,3,0,2.28534
