Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
8.4,5,0.0206333,5.04345,1.49381,1.03011,2.51953,0
8.5,5,5.06189,0,-0.0185661,1.0298,-2.52063,1
8.6,5,-0.0120318,5.07037,1.50361,1.0298,2.53696,0
8.7,5,5.07322,0,-0.0219652,1.02944,-2.54262,1
8.8,5,-0.0024519,5.06801,1.50074,1.02944,2.53783,0
8.9,5,5.07567,0,-0.022702,1.02906,-2.53906,1
9,5,0.00929956,5.05945,1.49721,1.02906,2.53319,0
9.1,5,5.07717,0,-0.0231515,1.02867,-2.53394,1
9.2,5,-0.00578103,5.07188,1.50173,1.02867,2.54148,0
9.3,5,5.08645,0,-0.0259341,1.02824,-2.54611,1
9.4,5,0.0153622,5.05917,1.49539,1.02824,2.53554,0
9.5,5,5.08107,0,-0.0243206,1.02783,-2.53285,1
9.6,5,-0.00640946,5.0735,1.50192,1.02783,2.54374,0
9.7,5,5.07391,0,-0.0221719,1.02746,-2.54016,1
9.8,5,0.0078366,5.05815,1.49765,1.02746,2.53303,0
9.9,5,5.05233,0,-0.0156979,1.0272,-2.52224,1
10,5,0.00621416,5.04839,1.49814,1.0272,2.52306,0
10.1,5,5.0608,0,-0.0182386,1.0269,-2.52729,1
10.2,5,-0.00603162,5.06212,1.50181,1.0269,2.53341,0
10.3,5,5.05243,0,-0.0157281,1.02664,-2.52923,1
10.4,5,0.00154845,5.05161,1.49954,1.02664,2.52544,0
10.5,5,5.05491,0,-0.0164733,1.02636,-2.52668,1
10.6,5,-0.00201323,5.05543,1.5006,1.02636,2.52846,0
10.7,5,5.03743,0,-0.0112297,1.02617,-2.51972,1
10.8,5,0.00112524,5.04399,1.49966,1.02617,2.51815,0
10.9,5,5.03162,0,-0.0094854,1.02602,-2.51525,1
11,5,-0.0182343,5.05641,1.50547,1.02602,2.52493,0
11.1,5,5.05839,0,-0.0175177,1.02572,-2.53831,1
11.2,5,0.00784952,5.04864,1.49765,1.02572,2.52527,0
11.3,5,5.05574,0,-0.0167211,1.02545,-2.52394,1
11.4,5,-0.0117844,5.06274,1.50354,1.02545,2.53376,0
11.5,5,5.06405,0,-0.019215,1.02513,-2.53792,1
11.6,5,0.00512267,5.05305,1.49846,1.02513,2.52946,0
11.7,5,5.0626,0,-0.018781,1.02481,-2.52874,1
11.8,5,-0.0047856,5.05994,1.50144,1.02481,2.53369,0
11.9,5,5.06811,0,-0.0204322,1.02447,-2.53645,1
12,5,0.00884994,5.05145,1.49735,1.02447,2.52963,0
12.1,5,5.04746,0,-0.0142366,1.02423,-2.5193,1
12.2,5,0.00848173,5.04118,1.49746,1.02423,2.51949,0
12.3,5,5.05009,0,-0.0150258,1.02398,-2.5208,1
12.4,5,-4.78244e-05,5.04907,1.50001,1.02398,2.52507,0
12.5,5,5.06808,0,-0.0204233,1.02364,-2.53406,1
12.6,5,-0.00404889,5.06092,1.50121,1.02364,2.53606,0
12.7,5,5.06359,0,-0.0190777,1.02333,-2.53382,1
12.8,5,0.00812013,5.04863,1.49756,1.02333,2.52774,0
12.9,5,5.05117,0,-0.0153516,1.02307,-2.52153,1
13,5,0.00770969,5.04249,1.49769,1.02307,2.52173,0
13.1,5,5.04296,0,-0.0128879,1.02286,-2.51762,1
13.2,5,0.0112063,5.03537,1.49664,1.02286,2.51588,0
13.3,5,5.04746,0,-0.0142373,1.02262,-2.51813,1
13.4,5,-0.0280097,5.06875,1.5084,1.02262,2.53773,0
13.5,5,5.07154,0,-0.0214612,1.02226,-2.54977,1
13.6,5,0.0062642,5.05302,1.49812,1.02226,2.53264,0
13.7,5,5.06745,0,-0.0202363,1.02192,-2.5306,1
13.8,5,-0.00182705,5.05711,1.50055,1.02192,2.53464,0
13.9,5,5.04623,0,-0.0138693,1.02169,-2.52403,1
14,5,-0.00953137,5.05243,1.50286,1.02169,2.52788,0
14.1,5,5.06231,0,-0.0186942,1.02138,-2.53592,1
14.2,5,-0.0138468,5.06361,1.50415,1.02138,2.53808,0
14.3,5,5.07144,0,-0.0214328,1.02102,-2.54264,1
14.4,5,0.00384883,5.05367,1.49885,1.02102,2.5338,0
14.5,5,5.05486,0,-0.0164577,1.02075,-2.52551,1
14.6,5,0.0113397,5.03911,1.4966,1.02075,2.52176,0
14.7,5,5.05111,0,-0.0153342,1.02049,-2.51989,1
14.8,5,0.0159793,5.03327,1.49521,1.02049,2.51757,0
14.9,5,5.04274,0,-0.0128234,1.02028,-2.51338,1
15,5,0.0267016,5.02029,1.49199,1.02028,2.50802,0
