Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
0.77,5,0.635615,0.76603,0.654706,0.107022,0.00430131,0
0.78,5,0.645767,0.762666,0.654658,0.108332,-0.000322865,0
0.79,5,0.65293,0.752621,0.653135,0.109638,-0.0101521,0
0.8,5,0.660981,0.75584,0.652061,0.110942,-0.00716236,0
0.81,5,0.661751,0.755045,0.650853,0.112244,-0.00805179,0
0.82,5,0.671501,0.763513,0.650737,0.113545,-0.000769203,0
0.83,5,0.677981,0.754369,0.649275,0.114844,-0.00974992,0
0.84,5,0.680943,0.757963,0.648303,0.11614,-0.00648046,0
0.85,5,0.677313,0.762333,0.647859,0.117436,-0.00296159,0
0.86,5,0.678265,0.770765,0.648403,0.118733,0.00362919,0
0.87,5,0.682459,0.767338,0.64826,0.120029,-0.000951752,0
0.88,5,0.682042,0.764762,0.647631,0.121325,-0.0041941,0
0.89,5,0.683796,0.770731,0.647694,0.12262,0.000417689,0
0.9,5,0.683321,0.76959,0.647431,0.123915,-0.0017549,0
0.91,5,0.679573,0.773188,0.647502,0.12521,0.0004758,0
0.92,5,0.687807,0.778317,0.648064,0.126506,0.00374745,0
0.93,5,0.6916,0.766394,0.646829,0.1278,-0.00823413,0
0.94,5,0.689247,0.771559,0.64626,0.129092,-0.00379268,0
0.95,5,0.69115,0.779352,0.646613,0.130385,0.00235325,0
0.96,5,0.690629,0.776102,0.646327,0.131678,-0.00190331,0
0.97,5,0.691127,0.779898,0.646406,0.132971,0.000521031,0
0.98,5,0.695757,0.780097,0.646331,0.134263,-0.000497834,0
0.99,5,0.695987,0.776562,0.645637,0.135555,-0.00462973,0
1,5,0.701058,0.782217,0.645602,0.136846,-0.000230618,0
1.01,5,0.690441,0.777906,0.644841,0.138136,-0.00507087,0
1.02,5,0.68174,0.79648,0.646434,0.139429,0.0106174,0
1.03,5,0.687883,0.797164,0.647739,0.140724,0.00870072,0
1.04,5,0.69127,0.782692,0.646818,0.142018,-0.00614301,0
1.05,5,0.691755,0.786232,0.646309,0.14331,-0.00338734,0
1.06,5,0.698302,0.790354,0.646237,0.144603,-0.000484951,0
1.07,5,0.701882,0.784601,0.645255,0.145893,-0.00654673,0
1.08,5,0.700882,0.788321,0.644718,0.147183,-0.00357974,0
1.09,5,0.705039,0.794339,0.644868,0.148472,0.000999422,0
1.1,5,0.706559,0.789849,0.644244,0.149761,-0.0041562,0
1.11,5,0.702672,0.793545,0.644016,0.151049,-0.00152035,0
1.12,5,0.703111,0.800825,0.644599,0.152338,0.00388715,0
1.13,5,0.700623,0.797721,0.644533,0.153627,-0.000439276,0
1.14,5,0.699923,0.802312,0.644907,0.154917,0.00248796,0
1.15,5,0.700718,0.801919,0.645012,0.156207,0.000700436,0
1.16,5,0.704206,0.801593,0.644892,0.157497,-0.000795911,0
1.17,5,0.707707,0.799667,0.644369,0.158786,-0.0034877,0
1.18,5,0.712655,0.800417,0.643844,0.160073,-0.00350054,0
1.19,5,0.712992,0.799513,0.643102,0.161359,-0.00494802,0
1.2,5,0.71992,0.80536,0.643051,0.162646,-0.000336916,0
1.21,5,0.730348,0.799014,0.642012,0.16393,-0.00692793,0
1.22,5,0.72938,0.79523,0.640448,0.16521,-0.0104283,0
1.23,5,0.732497,0.808052,0.640593,0.166492,0.000967492,0
1.24,5,0.727356,0.804781,0.640125,0.167772,-0.00311664,0
1.25,5,0.731182,0.815091,0.640897,0.169054,0.00514062,0
1.26,5,0.735996,0.806832,0.640323,0.170334,-0.00382531,0
1.27,5,0.740466,0.8064,0.639601,0.171614,-0.00481417,0
1.28,5,0.741804,0.807352,0.63893,0.172891,-0.00446963,0
1.29,5,0.742453,0.811559,0.638729,0.174169,-0.00133885,0
1.3,5,0.744955,0.81343,0.638632,0.175446,-0.000648449,0
1.31,5,0.74734,0.812478,0.638257,0.176723,-0.00250191,0
1.32,5,0.753021,0.813512,0.637899,0.177998,-0.00238562,0
1.33,5,0.755453,0.810639,0.637047,0.179273,-0.00568055,0
1.34,5,0.749573,0.814796,0.636682,0.180546,-0.0024319,0
1.35,5,0.752636,0.825265,0.637564,0.181821,0.00588005,0
1.36,5,0.760077,0.817137,0.637105,0.183095,-0.00306293,0
1.37,5,0.762837,0.812914,0.635988,0.184367,-0.0074412,0
1.38,5,0.752353,0.818453,0.635575,0.185638,-0.00275979,0
1.39,5,0.761084,0.834543,0.637147,0.186913,0.0104837,0
1.4,5,0.775768,0.815291,0.635837,0.188184,-0.00873112,0
1.41,5,0.781735,0.808402,0.633635,0.189452,-0.0146844,0
1.42,5,0.781911,0.81749,0.63274,0.190717,-0.0059668,0
1.43,5,0.773546,0.824521,0.632713,0.191983,-0.000175338,0
1.44,5,0.777299,0.835583,0.633968,0.19325,0.00836446,0
1.45,5,0.783289,0.82417,0.633405,0.194517,-0.00375251,0
1.46,5,0.785536,0.822298,0.632507,0.195782,-0.00599083,0
1.47,5,0.792026,0.82697,0.63217,0.197047,-0.00224605,0
1.48,5,0.786695,0.823015,0.631196,0.198309,-0.00649012,0
1.49,5,0.790328,0.8369,0.631996,0.199573,0.0053309,0
1.5,5,0.786828,0.828653,0.631451,0.200836,-0.00363364,0
1.51,5,0.787425,0.837577,0.631976,0.2021,0.00350087,0
1.52,5,0.792578,0.834652,0.631886,0.203364,-0.000597563,0
