Time,Setpoint,Measured,Control,P_Term,I_Term,D_Term,Anti_Windup
4,5,4.20415,4.25225,1.91003,2.35901,-0.0167916,0
4.05,5,4.20294,4.295,1.91295,2.37814,0.00390114,0
4.1,5,4.20425,4.30283,1.9098,2.39724,-0.00421117,0
4.15,5,4.21326,4.27546,1.88817,2.41612,-0.0288336,0
4.2,5,4.22032,4.28349,1.87123,2.43484,-0.0225823,0
4.25,5,4.21973,4.32807,1.87264,2.45356,0.00186952,0
4.3,5,4.23392,4.26517,1.8386,2.47195,-0.0453773,0
4.35,5,4.23218,4.33869,1.84277,2.49038,0.00555189,0
4.4,5,4.23603,4.32994,1.83354,2.50871,-0.0123045,0
4.45,5,4.24702,4.29877,1.80716,2.52678,-0.0351727,0
4.5,5,4.24462,4.36552,1.81292,2.54491,0.00768369,0
4.55,5,4.2587,4.29677,1.77913,2.5627,-0.0450593,0
4.6,5,4.26321,4.33426,1.7683,2.58039,-0.0144303,0
4.65,5,4.27858,4.2799,1.7314,2.5977,-0.0492037,0
4.7,5,4.27289,4.3784,1.74505,2.61515,0.0182013,0
4.75,5,4.29513,4.25262,1.6917,2.63207,-0.0711435,0
4.8,5,4.29015,4.36865,1.70363,2.6491,0.0159146,0
4.85,5,4.30077,4.31004,1.67814,2.66588,-0.0339848,0
4.9,5,4.30473,4.33857,1.66865,2.68257,-0.0126519,0
4.95,5,4.31228,4.32542,1.65052,2.69908,-0.0241781,0
5,5,4.31187,4.36843,1.65151,2.71559,0.00132539,0
5.05,5,4.32534,4.30787,1.61919,2.73178,-0.0431001,0
5.1,5,4.32531,4.36734,1.61927,2.74798,0.000102508,0
5.15,5,4.32498,4.38527,1.62005,2.76418,0.00104344,0
5.2,5,4.33297,4.35549,1.60087,2.78019,-0.0255691,0
5.25,5,4.33095,4.40841,1.60571,2.79624,0.00645687,0
5.3,5,4.34213,4.35514,1.57888,2.81203,-0.0357754,0
5.35,5,4.33822,4.42869,1.58826,2.82791,0.0125078,0
5.4,5,4.34762,4.37921,1.56571,2.84357,-0.0300738,0
5.45,5,4.34526,4.43823,1.57138,2.85928,0.00756163,0
5.5,5,4.35322,4.40158,1.55226,2.87481,-0.0254882,0
5.55,5,4.36687,4.36585,1.51951,2.89,-0.0436687,0
5.6,5,4.37049,4.40434,1.51082,2.90511,-0.0115886,0
5.65,5,4.37409,4.41078,1.50218,2.92013,-0.011527,0
5.7,5,4.36902,4.46589,1.51436,2.93528,0.0162512,0
5.75,5,4.36931,4.46312,1.51365,2.95041,-0.000945362,0
5.8,5,4.38155,4.41038,1.48429,2.96526,-0.0391575,0
5.85,5,4.38964,4.4189,1.46487,2.9799,-0.0258827,0
5.9,5,4.389,4.46302,1.46641,2.99457,0.00204446,0
5.95,5,4.40217,4.40156,1.43479,3.00892,-0.0421509,0
6,5,4.40945,4.41714,1.41733,3.02309,-0.0232839,0
6.05,5,4.41503,4.42319,1.40393,3.03713,-0.0178675,0
6.1,5,4.41538,4.45314,1.4031,3.05116,-0.00111481,0
6.15,5,4.4211,4.43608,1.38935,3.06505,-0.0183251,0
6.2,5,4.42967,4.42012,1.36879,3.07874,-0.0274115,0
6.25,5,4.42632,4.48007,1.37684,3.09251,0.0107262,0
6.3,5,4.43267,4.4474,1.36159,3.10613,-0.0203238,0
6.35,5,4.43346,4.47689,1.3597,3.11972,-0.00252741,0
6.4,5,4.44017,4.45527,1.34359,3.13316,-0.0214758,0
6.45,5,4.44164,4.48191,1.34006,3.14656,-0.00470757,0
6.5,5,4.4511,4.44682,1.31736,3.15973,-0.0302703,0
6.55,5,4.44785,4.50855,1.32516,3.17298,0.0104059,0
6.6,5,4.45561,4.46776,1.30654,3.18605,-0.0248328,0
6.65,5,4.45,4.53721,1.32001,3.19925,0.0179568,0
6.7,5,4.4675,4.43402,1.278,3.21203,-0.0560119,0
6.75,5,4.46543,4.51447,1.28298,3.22486,0.0066381,0
6.8,5,4.47221,4.48254,1.26671,3.23753,-0.0216908,0
6.85,5,4.47342,4.51006,1.26379,3.25016,-0.00389053,0
6.9,5,4.47811,4.50024,1.25254,3.26269,-0.0149955,0
6.95,5,4.48037,4.51501,1.2471,3.27516,-0.00725465,0
7,5,4.48207,4.52517,1.24302,3.28759,-0.00544019,0
7.05,5,4.48984,4.49936,1.22438,3.29984,-0.0248548,0
7.1,5,4.48937,4.53911,1.22551,3.31209,0.00150693,0
7.15,5,4.49577,4.51387,1.21015,3.32419,-0.020478,0
7.2,5,4.494,4.55639,1.21439,3.33634,0.00565584,0
7.25,5,4.49947,4.53214,1.20128,3.34835,-0.0174857,0
7.3,5,4.50627,4.52336,1.18495,3.3602,-0.0217799,0
7.35,5,4.51132,4.52862,1.17284,3.37193,-0.0161461,0
7.4,5,4.51415,4.54054,1.16603,3.38359,-0.00907575,0
7.45,5,4.5141,4.56161,1.16617,3.39525,0.000187595,0
7.5,5,4.52427,4.51584,1.14174,3.40667,-0.0325711,0
7.55,5,4.5204,4.58162,1.15104,3.41818,0.0123996,0
7.6,5,4.53311,4.50924,1.12053,3.42938,-0.0406748,0
7.65,5,4.53171,4.56898,1.12389,3.44062,0.00447399,0
7.7,5,4.53202,4.57402,1.12315,3.45185,-0.00098447,0
7.75,5,4.53213,4.58562,1.12289,3.46308,-0.000347929,0
7.8,5,4.53094,4.60386,1.12573,3.47434,0.00379088,0
7.85,5,4.53694,4.57762,1.11135,3.48545,-0.0191788,0
7.9,5,4.54363,4.57026,1.09528,3.4964,-0.0214273,0
7.95,5,4.54403,4.60043,1.09434,3.50735,-0.00125411,0
8,5,4.54263,4.6205,1.0977,3.51832,0.00447762,0
8.05,5,4.55063,4.58197,1.07848,3.52911,-0.0256194,0
8.1,5,4.55113,4.61558,1.07729,3.53988,-0.00159435,0
8.15,5,4.55475,4.60757,1.06859,3.55057,-0.0115926,0
8.2,5,4.55587,4.62355,1.06591,3.56123,-0.00358147,0
8.25,5,4.55516,4.64178,1.06761,3.5719,0.00226876,0
8.3,5,4.5627,4.6078,1.04952,3.5824,-0.024116,0
8.35,5,4.56818,4.61161,1.03638,3.59276,-0.0175277,0
8.4,5,4.57474,4.60259,1.02062,3.60297,-0.0210013,0
8.45,5,4.58701,4.56477,0.991167,3.61288,-0.0392757,0
8.5,5,4.5821,4.64159,1.00296,3.62291,0.0157236,0
8.55,5,4.59124,4.58448,0.981019,3.63272,-0.0292555,0
8.6,5,4.58719,4.64633,0.990739,3.64263,0.0129606,0
8.65,5,4.60016,4.57032,0.959606,3.65222,-0.0415108,0
8.7,5,4.59349,4.65896,0.975623,3.66198,0.0213564,0
8.75,5,4.60219,4.59842,0.954737,3.67153,-0.0278486,0
8.8,5,4.59772,4.66096,0.965467,3.68118,0.0143072,0
8.85,5,4.59633,4.66412,0.968801,3.69087,0.00444531,0
8.9,5,4.60417,4.6253,0.950001,3.70037,-0.0250672,0
8.95,5,4.60036,4.68126,0.959127,3.70996,0.012168,0
9,5,4.61093,4.61925,0.933767,3.7193,-0.0338135,0
9.05,5,4.60953,4.67028,0.937126,3.72867,0.00447894,0
9.1,5,4.61645,4.63626,0.920522,3.73788,-0.0221383,0
9.15,5,4.62164,4.63839,0.908056,3.74696,-0.0166212,0
9.2,5,4.62524,4.64386,0.89942,3.75595,-0.0115147,0
9.25,5,4.62023,4.69254,0.911442,3.76506,0.0160293,0
9.3,5,4.62604,4.65298,0.897513,3.77404,-0.0185725,0
9.35,5,4.62478,4.68762,0.900539,3.78305,0.00403564,0
9.4,5,4.6212,4.71268,0.909112,3.79214,0.0114298,0
9.45,5,4.63212,4.64895,0.882915,3.80097,-0.0349296,0
9.5,5,4.62399,4.73842,0.902423,3.80999,0.0260114,0
9.55,5,4.63431,4.6634,0.877655,3.81877,-0.0330247,0
9.6,5,4.63502,4.7012,0.875949,3.82753,-0.00227373,0
9.65,5,4.64128,4.67703,0.860928,3.83614,-0.020029,0
9.7,5,4.63998,4.71301,0.86406,3.84478,0.00417651,0
9.75,5,4.65493,4.63336,0.828165,3.85306,-0.0478603,0
9.8,5,4.65569,4.68527,0.826356,3.86132,-0.00241164,0
9.85,5,4.65548,4.69707,0.82684,3.86959,0.000644771,0
9.9,5,4.66133,4.67179,0.812798,3.87772,-0.0187222,0
9.95,5,4.66479,4.67919,0.804497,3.88576,-0.0110678,0
